Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0	0	154	0	4240	0	55.06	1.08	7.19	7.19	0	2.57	39.6
sda	0	0	134	0	3648	0	54.45	0.95	7.1	7.1	0	2.81	37.6
sda	0	0	148	0	3792	0	51.24	0.72	4.86	4.86	0	1.81	26.8
sda	0	2	134	2	3840	16	56.71	0.75	5.5	5.37	14	2.56	34.8
sda	0	0	120	0	3072	0	51.2	0.38	3.17	3.17	0	1.93	23.2
sda	0	0	156	0	4032	0	51.69	0.65	4.18	4.18	0	2.1	32.8
sda	0	0	88	0	2336	0	53.09	0.29	3.32	3.32	0	2.14	18.8
sda	0	0	67	0	1680	0	50.15	0.43	6.39	6.39	0	2.21	14.8
sda	0	2	0	2	0	16	16	0.02	12	0	12	12	2.4
sda	0	0	95	0	2688	0	56.59	1.51	15.83	15.83	0	3.16	30
sda	0	0	68	2	2400	20	69.14	0.3	4.23	4.35	0	2.63	18.4
sda	0	0	130	0	3616	0	55.63	1.22	9.29	9.29	0	2.62	34
sda	0	0	91	0	2464	0	54.15	0.68	7.6	7.6	0	2.2	20
sda	0	2	60	2	1872	16	60.9	0.21	3.42	3.13	12	2	12.4
sda	0	0	112	0	3408	0	60.86	0.91	8.11	8.11	0	2.46	27.6
sda	0	0	86	1	2752	20	63.72	0.37	4.23	4.28	0	2.21	19.2
sda	0	0	74	0	3200	0	86.49	0.38	5.19	5.19	0	2.32	17.2
sda	0	0	55	0	1696	0	61.67	0.28	5.09	5.09	0	2.91	16
sda	0	3	82	2	2224	20	53.43	0.38	4.57	4.34	14	2.43	20.4
sda	0	0	99	0	2480	0	50.1	0.2	2.02	2.02	0	1.41	14
sda	0	0	114	0	3392	0	59.51	0.29	2.53	2.53	0	1.37	15.6
sda	0	0	72	0	2176	0	60.44	0.33	4.56	4.56	0	2.17	15.6
sda	0	0	59	0	2112	0	71.59	0.18	3.05	3.05	0	2.44	14.4
sda	1	2	62	2	1744	16	55	0.37	5.75	5.1	26	2.56	16.4
sda	0	0	35	0	1056	0	60.34	0.09	2.51	2.51	0	1.83	6.4
sda	0	0	75	9	1744	48	42.67	0.5	5.95	4.75	16	2.29	19.2
sda	0	0	75	0	2160	0	57.6	0.29	3.84	3.84	0	2.19	16.4
sda	0	0	109	0	2832	0	51.96	0.32	2.97	2.97	0	1.91	20.8
sda	0	10	109	2	2992	48	54.77	0.67	6.05	5.61	30	2.92	32.4
sda	0	0	147	0	4704	0	64	1.04	7.13	7.13	0	2.69	39.6
sda	0	0	127	0	3488	0	54.93	0.61	4.57	4.57	0	2.2	28
sda	0	0	190	0	4336	0	45.64	0.96	5.07	5.07	0	2.15	40.8
sda	0	0	165	0	4960	0	60.12	1.4	8.63	8.63	0	2.79	46
sda	0	2	163	2	5008	16	60.9	0.92	5.6	5.4	22	2.21	36.4
sda	0	0	126	0	3024	0	48	0.38	2.98	2.98	0	1.65	20.8
sda	0	0	172	0	4656	0	54.14	0.84	4.84	4.84	0	2.12	36.4
sda	0	0	147	0	3792	0	51.59	0.81	5.5	5.5	0	2.48	36.4
sda	0	0	144	0	4720	0	65.56	1.37	9.58	9.58	0	2.5	36
sda	0	0	93	0	3152	0	67.78	0.78	8.3	8.3	0	2.97	27.6
sda	0	2	107	2	2656	16	49.03	0.59	5.39	4.9	32	2.97	32.4
sda	0	0	117	0	3488	0	59.62	0.68	5.88	5.88	0	2.39	28
sda	0	0	115	0	3728	0	64.83	0.46	3.9	3.9	0	1.74	20
sda	0	0	121	0	3616	0	59.77	0.4	3.47	3.47	0	1.75	21.2
sda	0	0	110	0	3072	0	55.85	0.44	4.04	4.04	0	2.51	27.6
sda	0	2	67	2	2112	16	61.68	0.29	4.17	3.88	14	2.38	16.4
sda	0	0	77	1	2144	20	55.49	0.34	4.26	4.31	0	2.15	16.8
sda	0	0	109	0	3328	0	61.06	0.52	4.66	4.66	0	2.31	25.2
sda	0	0	78	0	2752	0	70.56	0.67	8.82	8.82	0	3.28	25.6
sda	0	0	67	0	2048	0	61.13	0.31	4.6	4.6	0	2.27	15.2
sda	0	3	100	2	3360	20	66.27	0.41	4.04	3.84	14	2.35	24
sda	0	0	93	0	2576	0	55.4	0.38	4.13	4.13	0	2.67	24.8
sda	0	0	84	0	2800	0	66.67	0.31	3.71	3.71	0	1.95	16.4
sda	0	0	53	0	1472	0	55.55	0.19	3.62	3.62	0	2.42	12.8
sda	0	0	84	0	2928	0	69.71	0.33	3.95	3.95	0	2.19	18.4
sda	0	3	71	2	2080	20	57.53	0.32	4.44	3.89	24	2.96	21.6
sda	0	0	67	0	2384	0	71.16	0.28	3.94	3.94	0	2.51	16.8
sda	0	0	92	0	1944	0	42.26	1.22	13.39	13.39	0	4.39	40.4
sda	0	0	89	0	3104	0	69.75	0.34	3.82	3.82	0	2.02	18
sda	0	0	70	0	1664	0	47.54	0.23	3.2	3.2	0	2.23	15.6
sda	0	11	118	2	3120	52	52.87	0.58	4.83	4.37	32	2.5	30
sda	0	2	116	18	2960	88	45.49	0.33	2.48	2.86	0	1.58	21.2
sda	0	0	165	0	4544	0	55.08	0.9	5.38	5.38	0	2.3	38
sda	0	0	185	0	5376	0	58.12	0.86	4.76	4.76	0	2.38	44
sda	0	0	163	0	4912	0	60.27	1.21	7.41	7.41	0	2.94	48
sda	0	8	152	2	4208	40	55.17	1.15	7.51	7.39	16	3.01	46.4
sda	0	0	147	0	4288	0	58.34	1.59	10.75	10.75	0	3.48	51.2
sda	0	0	160	0	5280	0	66	1.87	11.78	11.78	0	3.27	52.4
