Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0.00	11.00	135.00	2.00	4432.00	52.00	65.46	0.92	6.72	6.28	36.00	2.69	36.80
sda	0.00	0.00	101.00	0.00	2896.00	0.00	57.35	1.27	12.55	12.55	0.00	3.49	35.20
sda	0.00	0.00	120.00	20.00	3456.00	96.00	50.74	0.36	2.60	3.03	0.00	1.40	19.60
sda	0.00	0.00	145.00	0.00	4416.00	0.00	60.91	0.61	4.19	4.19	0.00	2.12	30.80
sda	0.00	0.00	93.00	0.00	2480.00	0.00	53.33	0.26	2.84	2.84	0.00	1.76	16.40
sda	0.00	0.00	133.00	0.00	3792.00	0.00	57.02	0.45	3.40	3.40	0.00	1.98	26.40
sda	0.00	5.00	107.00	2.00	2992.00	28.00	55.41	0.83	7.56	7.21	26.00	3.05	33.20
sda	0.00	0.00	89.00	0.00	2944.00	0.00	66.16	0.38	4.31	4.31	0.00	2.02	18.00
sda	0.00	0.00	109.00	0.00	3408.00	0.00	62.53	0.55	5.03	5.03	0.00	2.53	27.60
sda	0.00	0.00	65.00	0.00	1520.00	0.00	46.77	0.19	2.89	2.89	0.00	1.72	11.20
sda	0.00	0.00	79.00	0.00	2608.00	0.00	66.03	0.27	3.44	3.44	0.00	1.92	15.20
sda	0.00	2.00	102.00	2.00	3472.00	16.00	67.08	0.40	3.81	3.61	14.00	2.31	24.00
sda	0.00	0.00	104.00	0.00	3760.00	0.00	72.31	0.35	3.38	3.38	0.00	1.58	16.40
sda	0.00	0.00	64.00	0.00	1936.00	0.00	60.50	0.20	2.88	2.88	0.00	1.62	10.40
sda	0.00	0.00	66.00	0.00	1680.00	0.00	50.91	0.22	3.45	3.45	0.00	2.12	14.00
sda	0.00	0.00	70.00	0.00	2000.00	0.00	57.14	0.18	2.57	2.57	0.00	1.77	12.40
sda	0.00	2.00	98.00	2.00	3392.00	16.00	68.16	0.31	3.04	2.82	14.00	2.12	21.20
sda	0.00	0.00	63.00	0.00	1904.00	0.00	60.44	0.17	2.79	2.79	0.00	1.97	12.40
sda	0.00	0.00	73.00	8.00	2048.00	48.00	51.75	0.37	4.59	4.22	8.00	2.42	19.60
sda	0.00	0.00	77.00	0.00	2064.00	0.00	53.61	0.35	4.57	4.57	0.00	2.75	21.20
sda	0.00	0.00	32.00	0.00	832.00	0.00	52.00	0.10	3.12	3.12	0.00	2.62	8.40
sda	7.00	9.00	93.00	2.00	2544.00	44.00	54.48	1.26	13.31	13.33	12.00	2.53	24.00
sda	0.00	0.00	46.00	0.00	1680.00	0.00	73.04	0.32	6.87	6.87	0.00	3.22	14.80
sda	0.00	0.00	55.00	0.00	1648.00	0.00	59.93	0.12	2.11	2.11	0.00	1.38	7.60
sda	0.00	0.00	67.00	0.00	2352.00	0.00	70.21	0.14	2.15	2.15	0.00	1.55	10.40
sda	0.00	0.00	137.00	0.00	4000.00	0.00	58.39	0.96	6.98	6.98	0.00	2.54	34.80
sda	0.00	2.00	210.00	2.00	5440.00	16.00	51.47	1.01	4.77	4.51	32.00	2.02	42.80
sda	0.00	0.00	191.00	0.00	5680.00	0.00	59.48	1.14	5.95	5.95	0.00	2.22	42.40
sda	0.00	0.00	160.00	0.00	4528.00	0.00	56.60	0.63	3.92	3.92	0.00	2.10	33.60
sda	0.00	0.00	105.00	0.00	3920.00	0.00	74.67	0.28	2.63	2.63	0.00	1.60	16.80
sda	0.00	0.00	165.00	0.00	4688.00	0.00	56.82	0.66	4.02	4.02	0.00	1.99	32.80
sda	0.00	0.00	162.00	0.00	4624.00	0.00	57.09	0.77	4.77	4.77	0.00	2.05	33.20
sda	0.00	2.00	144.00	2.00	4192.00	16.00	57.64	0.60	4.05	3.94	12.00	2.05	30.00
sda	0.00	0.00	101.00	0.00	3024.00	0.00	59.88	0.22	2.22	2.22	0.00	1.58	16.00
sda	0.00	0.00	102.00	0.00	3024.00	0.00	59.29	0.41	4.08	4.08	0.00	2.04	20.80
sda	0.00	0.00	113.00	0.00	3680.00	0.00	65.13	0.60	5.27	5.27	0.00	2.19	24.80
sda	0.00	0.00	100.00	0.00	2976.00	0.00	59.52	0.33	3.28	3.28	0.00	1.64	16.40
sda	0.00	2.00	100.00	2.00	3312.00	16.00	65.25	0.51	4.98	4.80	14.00	2.86	29.20
sda	0.00	0.00	96.00	0.00	3056.00	0.00	63.67	0.34	3.58	3.58	0.00	2.25	21.60
sda	0.00	0.00	95.00	0.00	2848.00	0.00	59.96	0.34	3.37	3.37	0.00	2.15	20.40
sda	0.00	0.00	61.00	0.00	2208.00	0.00	72.39	0.39	6.62	6.62	0.00	3.41	20.80
sda	0.00	3.00	101.00	3.00	2900.00	28.00	56.31	0.43	4.15	4.04	8.00	2.50	26.00
sda	0.00	0.00	80.00	0.00	2352.00	0.00	58.80	0.28	3.45	3.45	0.00	1.80	14.40
sda	0.00	0.00	79.00	0.00	2512.00	0.00	63.59	0.20	2.48	2.48	0.00	1.82	14.40
sda	0.00	0.00	100.00	0.00	2720.00	0.00	54.40	0.59	5.84	5.84	0.00	2.76	27.60
sda	0.00	0.00	97.00	0.00	3088.00	0.00	63.67	0.46	4.87	4.87	0.00	2.19	21.20
sda	0.00	3.00	68.00	2.00	2272.00	20.00	65.49	0.52	7.37	6.71	30.00	3.71	26.00
sda	0.00	0.00	70.00	0.00	2144.00	0.00	61.26	0.36	5.14	5.14	0.00	1.94	13.60
sda	0.00	0.00	63.00	1.00	1792.00	20.00	56.62	0.17	2.62	2.67	0.00	1.75	11.20
sda	0.00	0.00	82.00	0.00	2144.00	0.00	52.29	0.26	3.22	3.22	0.00	2.34	19.20
sda	0.00	0.00	69.00	0.00	2128.00	0.00	61.68	0.36	5.22	5.22	0.00	2.84	19.60
sda	0.00	3.00	69.00	2.00	2512.00	20.00	71.32	0.38	5.30	5.04	14.00	2.82	20.00
sda	0.00	0.00	69.00	0.00	1904.00	0.00	55.19	0.34	4.87	4.87	0.00	2.55	17.60
sda	0.00	0.00	80.00	11.00	2992.00	56.00	66.99	0.37	4.09	4.65	0.00	2.07	18.80
sda	0.00	0.00	67.00	0.00	1840.00	0.00	54.93	0.19	2.81	2.81	0.00	2.09	14.00
sda	0.00	0.00	60.00	0.00	1792.00	0.00	59.73	0.20	3.27	3.27	0.00	2.27	13.60
sda	0.00	7.00	75.00	2.00	2512.00	36.00	66.18	0.46	5.97	5.81	12.00	3.22	24.80
sda	0.00	0.00	93.00	0.00	3040.00	0.00	65.38	0.22	2.37	2.37	0.00	1.55	14.40
sda	0.00	0.00	127.00	0.00	3664.00	0.00	57.70	0.39	3.06	3.06	0.00	1.95	24.80
sda	0.00	0.00	238.00	0.00	6128.00	0.00	51.50	1.58	6.62	6.62	0.00	2.50	59.60
sda	0.00	0.00	186.00	0.00	5408.00	0.00	58.15	0.92	4.97	4.97	0.00	2.00	37.20
sda	0.00	2.00	211.00	2.00	5728.00	16.00	53.93	1.88	8.79	8.74	14.00	2.59	55.20
sda	0.00	0.00	170.00	0.00	4416.00	0.00	51.95	1.23	7.08	7.08	0.00	2.56	43.60
sda	0.00	0.00	154.00	0.00	4240.00	0.00	55.06	1.08	7.19	7.19	0.00	2.57	39.60
sda	0.00	0.00	134.00	0.00	3648.00	0.00	54.45	0.95	7.10	7.10	0.00	2.81	37.60
sda	0.00	0.00	148.00	0.00	3792.00	0.00	51.24	0.72	4.86	4.86	0.00	1.81	26.80
sda	0.00	2.00	134.00	2.00	3840.00	16.00	56.71	0.75	5.50	5.37	14.00	2.56	34.80
sda	0.00	0.00	120.00	0.00	3072.00	0.00	51.20	0.38	3.17	3.17	0.00	1.93	23.20
sda	0.00	0.00	156.00	0.00	4032.00	0.00	51.69	0.65	4.18	4.18	0.00	2.10	32.80
sda	0.00	0.00	88.00	0.00	2336.00	0.00	53.09	0.29	3.32	3.32	0.00	2.14	18.80
sda	0.00	0.00	67.00	0.00	1680.00	0.00	50.15	0.43	6.39	6.39	0.00	2.21	14.80
sda	0.00	2.00	0.00	2.00	0.00	16.00	16.00	0.02	12.00	0.00	12.00	12.00	2.40
sda	0.00	0.00	95.00	0.00	2688.00	0.00	56.59	1.51	15.83	15.83	0.00	3.16	30.00
sda	0.00	0.00	68.00	2.00	2400.00	20.00	69.14	0.30	4.23	4.35	0.00	2.63	18.40
sda	0.00	0.00	130.00	0.00	3616.00	0.00	55.63	1.22	9.29	9.29	0.00	2.62	34.00
sda	0.00	0.00	91.00	0.00	2464.00	0.00	54.15	0.68	7.60	7.60	0.00	2.20	20.00
sda	0.00	2.00	60.00	2.00	1872.00	16.00	60.90	0.21	3.42	3.13	12.00	2.00	12.40
sda	0.00	0.00	112.00	0.00	3408.00	0.00	60.86	0.91	8.11	8.11	0.00	2.46	27.60
sda	0.00	0.00	86.00	1.00	2752.00	20.00	63.72	0.37	4.23	4.28	0.00	2.21	19.20
